Ticker,Name,Sector,Industry
PBB,Deutsche Pfandbriefbank,Banks,Banks
PERP,Pernod Ricard,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
PGHN,Partners Group,Financial Services,Financial Services
PHNX,Phoenix Group,Insurance,Insurance
PHNX,Phoenix Group,Insurance,Insurance
PIRC,Pirelli,Automobiles and Parts,Automobiles and Parts
PLPH,PolyPeptide,Health Care,Health Care
PNL,PostNL,Industrial Goods and Services,Industrial Goods and Services
PNN,Pennon Group,Utilities,Utilities
PROX,Proximus,Telecommunications,Telecommunications
PRU,Prudential,Insurance,Insurance
PRU,Prudential plc,Insurance,Insurance
PRY,Prysmian,Industrial Goods and Services,Industrial Goods and Services
PRY,Prysmian,Industrial Goods and Services,Industrial Goods and Services
PSN,Publicis,Media,Media
PSN,Persimmon plc,Consumer Products and Services,Consumer Products and Services
PSON,Pearson,Media,Media
PST,Poste Italiane,Insurance,Insurance
PUM,Puma,Consumer Products and Services,Consumer Products and Services
QIA,Qiagen,Health Care,Health Care
QLT,Quilter,Financial Services,Financial Services
RBI,Raiffeisen Bank International,Banks,Banks
RCO,Rémy Cointreau,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
REC,Recordati,Health Care,Health Care
RED,Redeia,Utilities,Utilities
REL,RELX,Media,Media
RENA,Renault,Automobiles and Parts,Automobiles and Parts
REP,Repsol,Energy,Energy
RHM,Rheinmetall,Industrial Goods and Services,Industrial Goods and Services
RIGN,Transocean,Energy,Energy
RIO,Rio Tinto,Basic Resources,Basic Resources
RIO,Rio Tinto Group,Basic Resources,Basic Resources
RKT,Reckitt,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores"
RMS,Hermès,Consumer Products and Services,Consumer Products and Services
RMV,Rightmove,Real Estate,Real Estate
RNL,Renault,Automobiles and Parts,Automobiles and Parts
ROG,Roche Holding,Health Care,Health Care
ROL,Royal Mail,Industrial Goods and Services,Industrial Goods and Services
RR,Rolls-Royce Holdings,Industrial Goods and Services,Industrial Goods and Services
RR.,Rolls-Royce,Industrial Goods and Services,Industrial Goods and Services
RTO,Rentokil Initial,Industrial Goods and Services,Industrial Goods and Services
RWE,RWE,Utilities,Utilities
RXL,Rexel,Industrial Goods and Services,Industrial Goods and Services
S4,S4 Capital,Media,Media
SAB,Banco Sabadell,Banks,Banks
SAF,Safran,Industrial Goods and Services,Industrial Goods and Services
SALM,SalMar,"Food, Beverage and Tobacco","Food, Beverage and Tobacco"
SAMPO,Sampo Group,Insurance,Insurance
SAN,Banco Santander,Banks,Banks
SAND,Sandvik AB,Industrial Goods and Services,Industrial Goods and Services
SAND,Sandvik,Industrial Goods and Services,Industrial Goods and Services
SANO,Sanoma,Media,Media
SAP,SAP,Technology,Technology
SASY,Sanofi,Health Care,Health Care
SBRY,Sainsbury's,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores"
SBRY,Sainsbury's,Retail,Retail
SCHA,Schibsted,Media,Media
SCHN,Schneider Electric,Industrial Goods and Services,Industrial Goods and Services
SCHP,Schindler Group,Industrial Goods and Services,Industrial Goods and Services
SCMN,Swisscom,Telecommunications,Telecommunications
SCMN,Swisscom,Telecommunications,Telecommunications
SCR,SCOR SE,Insurance,Insurance
SCT,Softcat,Technology,Technology
SDR,Schroders,Financial Services,Financial Services
SDZ,Sandoz,Health Care,Health Care
SEB,Skandinaviska Enskilda Banken,Banks,Banks
SECU B,Securitas AB,Industrial Goods and Services,Industrial Goods and Services
SGE,Sage Group,Technology,Technology
SGE,Sage Group,Technology,Technology
SGE,Sage Group,Technology,Technology
SGEF,Vinci SA,Construction and Materials,Construction and Materials
SGO,Saint-Gobain,Construction and Materials,Construction and Materials
SGOB,Saint-Gobain,Construction and Materials,Construction and Materials
SGRO,Segro,Real Estate,Real Estate
SGSN,SGS S.A.,Industrial Goods and Services,Industrial Goods and Services
SHB B,Svenska Handelsbanken,Banks,Banks
SHEL,Shell plc,Energy,Energy
SHEL,Shell,Energy,Energy
SIE,Siemens,Industrial Goods and Services,Industrial Goods and Services
SIG,SIG Group,Industrial Goods and Services,Industrial Goods and Services
SIKA,Sika,Construction and Materials,Construction and Materials
SIX2,Sixt,Consumer Products and Services,Consumer Products and Services
SKA B,Skanska,Construction and Materials,Construction and Materials
SKF B,SKF,Industrial Goods and Services,Industrial Goods and Services
SKFb,SKF,Industrial Goods and Services,Industrial Goods and Services
SKG,Smurfit Kappa,Industrial Goods and Services,Industrial Goods and Services
SKY,Sky Group,Media,Media
